"HAULJOIN","VESSEL","CRUISE","HAUL","LATITUDE","LONGITUDE","GIS_STATION","SURVEY_YEAR","START_TIME","GEAR_DEPTH","NBT","SPECIES_CODE","MALE_LE30","MALE_31TO60","MALE_61TO90","MALE_91TO120","MALE_TOTAL","IMMATURE_FEMALE","MATURE_FEMALE","TOTAL_FEMALE"
-17404,94,201702,50,63.67658,-166.0585,"AA-04",2017,24-AUG-17,24,5.5,68580,0,147.363029974918382351892636501835523385,0,0,147.363029974918382351892636501835523385,147.363029974918382351892636501835523385,0,147.363029974918382351892636501835523385
-17079,94,201702,14,60.67054,-169.37521,"R-19",2017,04-AUG-17,41,4.8,68580,392.93599029563227311845428139773857907,3772.185506838069821937161101418290359075,0,0,4165.121497133702095055615382816028938145,1807.505555359908456344889694429597463723,0,1807.505555359908456344889694429597463723
-17078,94,201702,13,60.67064,-170.75633,"R-21",2017,03-AUG-17,56,-0.7,68580,0,304439.227947020779544635863255787495811,470.418585547804449463769039282700225307,78.40309759130074157729483988045003755112,304988.0496301598847356769271349506460739,345130.4355969058644232518851537410653,18973.5496170947794617053512510689090874,364025.5821164093431433799415649295243498
-17419,94,201702,56,60.99729,-167.32733,"S-02",2017,26-AUG-17,21,10.8,68580,0,0,0,0,0,142.898930309999798474237142834125160298,0,142.898930309999798474237142834125160298
-17068,94,201702,3,61.34035,-172.93407,"T-24",2017,01-AUG-17,66,-1.4,68580,21313.3676375294148725109441546500271194,560638.9395821189231946787442101342159026,0,0,581952.307219648338067189688364784243022,439682.8734970535129029668885507497980371,39489.2344553209970988146934845038573532,479172.1079523745100017815820352536553903
-17450,94,201702,45,64.34015,-166.83257,"CC-03",2017,23-AUG-17,28,4.5,68580,699.931269166454504605548404991062295606,77.77014101849494495617204499900692173403,0,0,777.70141018494944956172044999006921734,544.390987129464614693204314993048452138,0,544.390987129464614693204314993048452138
-19487,162,201902,3,62.33425,-173.86337,"W-25",2019,29-JUL-19,61,0.3,68580,0,215717.8747422997746847193758560126873713,88053.7454162426463524318373615713976602,2415.267311574053779259493971516456832372,306186.8874701164748164107071891005418639,43405.8039708594236329777630881100385018,4485.49643578038559005334594710199126012,47891.3004066398092230311090352120297619
-19766,162,201902,33,64.66013,-169.12056,"DD-18",2019,09-AUG-19,41,2.2,68580,21354.0120115675341102861091043349346548,69263.6543452126426910562256845735700983,0,0,90617.6663567801768013423347889085047532,57354.6861079922871295505109917713950024,0,57354.6861079922871295505109917713950024
-19486,162,201902,2,62.33512,-174.57173,"W-26",2019,29-JUL-19,68,-0.5,68580,0,58653.1729635266910686598673715774662071,102042.3876618464360278853596199492303652,4593.320774252090264413122143557271449957,165288.8813996252173609583491350839680223,32930.5766277149855879463833676567460874,10246.6386502546628975369647817816055422,43177.2152779696484854833481494383516296
-19488,162,201902,4,62.33498,-173.15609,"W-24",2019,29-JUL-19,56,0.6,68580,0,31189.4291361428393166498123532603475273,14358.1292719247872625105964357520102053,137.398366238514710646034415653129284261,45753.6559574253986451294604124920516589,16144.3080330254785009090438392426909007,6457.723213210191400363617535697076360271,22602.0312462356699012726613749397672609
-18192,162,201801,210,64.74394,-170.04237,"NBS-23",2018,05-AUG-18,45,3.1,68580,283.376967745405050829111221352773111177,1841.950290345132830389222938793025222649,283.376967745405050829111221352773111177,0,2408.704225835942932047445381498571445002,920.975145172566415194611469396512611324,70.84424193635126270727780533819327779417,991.819387108917677901889274734705889118
-18212,162,201801,223,63.75025,-168.80688,"NBS-34",2018,11-AUG-18,31,6.4,68580,43690.7793618435380911332671552471886827,1201976.07174508879343331301636880639045,0,0,1245666.85110693233152444628352405357913,309934.1913213411863790172284825319532499,0,309934.1913213411863790172284825319532499
-19742,162,201902,26,64.01046,-168.27732,"BB-01",2019,07-AUG-19,33,3,68580,3599.316458747241936986777071453177064081,1145.237055055940616313974522735101793117,0,0,4744.553513803182553300751594188278857198,7362.238211073903962018407646154225812893,0,7362.238211073903962018407646154225812893
-19823,162,201902,67,61.99204,-169.55975,"V-19",2019,18-AUG-19,39,2.4,68580,36596.1504105214262116167984950712156207,36596.1504105214262116167984950712156207,71.19873620724012881637509434838757902867,0,73192.3008210428524232335969901424312415,36240.1567294852255675349230233292777256,71.19873620724012881637509434838757902867,36311.3554656924656963512981176776653046
-19824,162,201902,68,61.67139,-169.50709,"U-19",2019,18-AUG-19,38,5.5,68580,162.661014975865757034966718203079575707,406.652537439664392587416795507698939266,0,0,569.313552415530149622383513710778514973,325.322029951731514069933436406159151413,0,325.322029951731514069933436406159151413
-19781,94,201902,47,63.99847,-166.81108,"BB-03",2019,11-AUG-19,30,5.1,68580,1928.12707695298618630679546828407636918,308.500332312477789809087274925452219069,0,0,2236.627409265463976115882743209528588249,1773.876910796747291402251830821350259646,0,1773.876910796747291402251830821350259646
-7177,89,201002,6,62.33131,-168.8704,"W-18",2010,31-JUL-10,32,-0.9,68580,607.792927606204530207151562427286975838,122947.8264986265163961895160567197653981,0,0,123468.7918651461202792242173959431542345,67899.1527697217060888560745454483450151,0,67899.1527697217060888560745454483450151
-19759,94,201902,35,63.00628,-166.75543,"Y-03",2019,09-AUG-19,26,9.1,68580,78.17066577272066266049642390206619225774,0,0,0,78.17066577272066266049642390206619225774,78.17066577272066266049642390206619225774,0,78.17066577272066266049642390206619225774
-19797,94,201902,59,62.66791,-168.18687,"X-01",2019,15-AUG-19,32,5.7,68580,359.922145010523067868816300785336652465,71.98442900210461357376326015706733049292,0,0,431.906574012627681442579560942403982958,215.953287006313840721289780471201991479,0,215.953287006313840721289780471201991479
-7122,94,201002,50,64.33415,-167.57534,"CC-02",2010,04-AUG-10,29,1.4,68580,29127.9396041799725782179704036915633551,193146.9572626469167580988798036336341912,0,0,222274.8968668268893363168502073251975463,168367.6959655698696633895077982396845201,0,168367.6959655698696633895077982396845201
-7102,94,201002,30,64.32886,-170.61723,"CC-20",2010,30-JUL-10,33,0.7,68580,407.81825835995783361219586852459782155,74712.3049315442751177542831137063209079,1223.45477507987350083658760557379346465,0,76343.5779649841064522030665878047121941,64843.1030792332955443391430954110536264,0,64843.1030792332955443391430954110536264
-7108,94,201002,36,64.65753,-168.35176,"DD-01",2010,31-JUL-10,36,2,68580,17834.5732490691292782888540533782203332,86843.1246947915709451813118545128656765,401.679577681737145907406622823833791288,0,105079.377521542437369377572530714919801,56074.4690443705055686739645462071972638,562.351408754432004270369271953367307804,56636.8204531249375729443338181605645716
-7125,94,201002,53,63.66494,-166.78118,"AA-03",2010,04-AUG-10,27,0.8,68580,1073.196099710510204170987695994354643546,31122.6868916047959209586431838362846628,0,0,32195.8829913153061251296308798306393064,23533.6573293661880486066587621619196835,0,23533.6573293661880486066587621619196835
-7107,94,201002,35,64.33116,-168.33465,"CC-01",2010,31-JUL-10,36,2.8,68580,7755.72913870304675181146529294907344836,27306.6296758503104386695340522581960994,0,0,35062.3588145533571904809993452072695478,28922.4065797467785119635893216225864012,0,28922.4065797467785119635893216225864012
-7154,162,201002,1,62.32484,-175.27395,"W-27",2010,04-AUG-10,76,-1.4,68580,0,158166.3561312228270089539733926024572618,0,0,158166.3561312228270089539733926024572618,166941.4854970958119986253034455073297215,30320.5689471221026065879290445900064665,197262.054444217914605213232490097336188
-7151,94,201002,79,62.66778,-166.73645,"X-03",2010,10-AUG-10,23,6.8,68580,327.642369515971301060494503846731503834,0,0,0,327.642369515971301060494503846731503834,81.91059237899282526512362596168287595854,0,81.91059237899282526512362596168287595854
-7198,89,201002,27,61.98825,-172.3673,"V-23",2010,04-AUG-10,53,-1.2,68580,11362.9645326564505724629400598687887217,94405.9998500840722219010020042523336944,0,0,105691.135858544245735648442474669966329,157602.7614974610438988866686385910764478,4747.539975972900581645474956520521315219,162350.301473433944480532143595111597763
-7083,94,201002,11,62.33545,-167.43715,"W-02",2010,26-JUL-10,22,0.8,68580,0,83.26257019066594959120505851283163521245,0,0,83.26257019066594959120505851283163521245,83.26257019066594959120505851283163521245,0,83.26257019066594959120505851283163521245
-7086,94,201002,14,62.66204,-167.47114,"X-02",2010,26-JUL-10,24,1.3,68580,159.064499968474682386919666984164067794,11850.3052476513638378255151903202230506,79.53224998423734119345983349208203389691,0,12088.9019976040758614058946907964691523,6203.515498770512613089867012382398643959,0,6203.515498770512613089867012382398643959
-7212,89,201002,41,61.67071,-170.18286,"U-20",2010,07-AUG-10,44,-1.2,68580,1305.356798034041708196789665199618243139,135688.4040061701249309820836194340015895,2679.416585438296137877620891725532183286,0,139673.1773896424627770564941763591520159,130329.5708352935326552268418359829372229,2679.416585438296137877620891725532183286,133008.9874207318287931044627277084694062
-7205,89,201002,34,62.99693,-171.12531,"Y-21",2010,06-AUG-10,45,-0.9,68580,282219.3372041448878595752931236548064622,48467.0060314810540867964725221303424336,0,0,330686.3432356259419463717656457851488958,233752.3311726638337727788206015244640286,0,233752.3311726638337727788206015244640286
-7162,162,201002,9,63.32892,-172.6906,"ZZ-23",2010,06-AUG-10,62,0.2,68580,4578.475974654193127341467696802738687152,223429.627563124624614263623603973647933,0,0,228008.1035377788177416050913007763866202,293022.4623778683601498539325953752759777,32542.3984660036496127962780911210042071,325564.8608438720097626502106864962801849
-7126,94,201002,54,63.34855,-166.76529,"ZZ-03",2010,04-AUG-10,25,2.9,68580,466.913011504040419315516517660869433229,233.456505752020209657758258830434716614,0,0,700.369517256060628973274776491304149843,700.369517256060628973274776491304149843,0,700.369517256060628973274776491304149843
-7203,89,201002,32,63.31338,-171.97767,"ZZ-22",2010,05-AUG-10,59,0.1,68580,6794.862692925459127492965224598333476433,17235.7492698597012014455703258104068671,0,0,24030.6119627851603289385355504087403435,11269.5283687544200163297959822606506438,0,11269.5283687544200163297959822606506438
-7157,162,201002,4,62.6672,-174.63588,"X-26",2010,05-AUG-10,71,-1.5,68580,45105.3944328901805607884248270045128931,1082869.62773501207237717851881060457273,0,0,1127975.02216790225293796694363760908562,982113.8371541518047896556573192113848034,77012.5286546480910932315187091540099472,1059126.36580879989588288717602836539475
-7197,89,201002,26,61.99595,-171.67044,"V-22",2010,04-AUG-10,50,-1.2,68580,9196.012244000287840898875656052241054651,309264.2100881441339435067258447148630312,2318.322414453854077537531677996363291088,0,320778.5447465982758619431331787634673769,346202.8138917755422456047305807902514692,6954.967243361562232612595033989089873265,353080.5037213219760089660745588461292328
-7210,89,201002,39,62.33985,-170.28379,"W-20",2010,07-AUG-10,38,-0.9,68580,3139.049804893055205558047477954039052211,2615.874837410879337965039564961699210176,0,0,5754.924642303934543523087042915738262387,3213.789085961937472357048608381516172502,74.73928106888226679900113042747712029074,3288.528367030819739156049738808993292793
-7211,89,201002,40,61.99963,-170.2566,"V-20",2010,07-AUG-10,45,-1,68580,0,97786.5720095948890712723643644359647053,813.193946025737123253824235878885361374,0,98599.7659556206261945261886003148500666,78744.2804401588781017453135076053991597,2507.348000246022796699291393959896530904,81183.8622782360894715067862152420552439
-6198,162,201001,79,59.33674,-168.57278,"N-18",2010,22-JUN-10,39,1,68580,0,0,0,0,0,159.003709353120515803777973295322293959,0,159.003709353120515803777973295322293959
-6209,162,201001,90,57.33071,-167.73613,"H-01",2010,24-JUN-10,71,0.2,68580,312.311992503593995148263250239705906222,7573.565818212154382345383818312868225881,2888.885930658244455121435064717279632552,17879.8615708307562222380710762231631312,36384.3471266687004347726686529257380748,52390.3367424778926861211602277106657687,234.233994377695496361197437679779429666,52624.5707368555881824823576653904451984
-6211,162,201001,92,56.33204,-167.66187,"E-01",2010,25-JUN-10,127,3.9,68580,0,0,209.62067223700121919020176787335294496,279.494229649334958920269023831137259946,558.988459298669917840538047662274519892,0,0,0
