"","R","m","logLik","K","AICc","dAICc"
"1","unconstrained",1,-64.4943697805999,9,149.081762817014,0
"2","diagonal and unequal",1,-72.4533426562817,6,157.850505537283,8.7687427202687
"3","diagonal and equal",1,-78.3451168229565,4,165.129794085473,16.0480312684596
"4","equalvarcov",1,-77.8811659658528,5,166.428998598372,17.3472357813585
